"Breed","height_low_m","height_high_m","weight_low_kg","weight_high_kg","height_avg","weight_avg","bmi_low","bmi_avg","bmi_high"
"Schipperke",0.254,0.3302,5.443104,8.164656,0.2921,6.80388,84.3682807365615,79.7431764995855,74.8830894111492
"Scottish Terrier",0.254,0.3048,8.164656,9.979024,0.2794,9.07184,126.552421104842,116.209753080663,107.413320382196
"Sealyham Terrier",0.3048,0.3048,8.164656,9.07184,0.3048,8.618248,87.8836257672516,92.7660494209878,97.648473074724
"Shetland Sheepdog (Sheltie)",0.3302,0.4064,6.350288,9.07184,0.3683,7.711064,58.2424028753383,56.8474345034303,54.9272661045322
"Shiba Inu",0.3302,0.4064,6.80388,13.60776,0.3683,10.20582,62.402574509291,75.2392515486577,82.3908991567983
"Shih Tzu",0.2032,0.2794,4.082328,7.257472,0.2413,5.6699,98.869078988158,97.3779786894754,92.9678024645306
"Silky Terrier",0.2286,0.254,3.628736,4.989512,0.2413,4.309124,69.4389141864703,74.0072638040013,77.3375906751813
"Skye Terrier",0.254,0.254,11.3398,11.3398,0.254,11.3398,175.767251534503,175.767251534503,175.767251534503
"Tibetan Spaniel",0.254,0.254,4.082328,6.80388,0.254,5.443104,63.2762105524211,84.3682807365615,105.460350920702
"Tibetan Terrier",0.3556,0.4318,9.07184,13.60776,0.3937,11.3398,71.7417353202053,73.1601463202927,72.9829418136345
"Welsh Terrier",0.381,0.381,9.07184,9.525432,0.381,9.298636,62.4950227678233,64.0573983370189,65.6197739062145
"West Highland White Terrier",0.2794,0.2794,5.896696,6.80388,0.2794,6.350288,75.5363395024311,81.3468271564642,87.1573148104974
"Whippet",0.4572,0.5588,12.246984,13.60776,0.508,12.927372,58.5890838448344,50.0936666873334,43.5786574052487
"Affenpinscher",0.2286,0.3048,3.628736,5.443104,0.2667,4.53592,69.4389141864703,63.7704313957381,58.5890838448344
"Chihuahua",0.1524,0.2286,0.907184,2.26796,0.1905,1.587572,39.0593892298896,43.7465159374763,43.399321366544
"Chinese Crested",0.2794,0.3302,2.26796,5.443104,0.3048,3.855532,29.0524382701658,41.5006010567577,49.9220596074328
"Italian Greyhound",0.3048,0.381,2.721552,4.53592,0.3429,3.628736,29.2945419224172,30.8617396384313,31.2475113839117
"Japanese Chin",0.2032,0.2794,1.814368,4.989512,0.2413,3.40194,43.9418128836258,58.4267872136852,63.9153641943648
"Maltese",0.2032,0.254,1.814368,2.721552,0.2286,2.26796,43.9418128836258,43.399321366544,42.1841403682807
"Manchester Terrier (Toy)",0.254,0.3048,2.721552,3.628736,0.2794,3.175144,42.1841403682807,40.6734135782321,39.0593892298896
"Papillon",0.2032,0.2794,2.26796,4.53592,0.2413,3.40194,54.9272661045322,58.4267872136852,58.1048765403316
"Pomeranian",0.3048,0.3048,1.360776,3.175144,0.3048,2.26796,14.6472709612086,24.412118268681,34.1769655761534
"Poodle Toy",0.254,0.254,4.53592,4.53592,0.254,4.53592,70.3069006138012,70.3069006138012,70.3069006138012
"Toy Fox Terrier",0.254,0.254,1.814368,3.175144,0.254,2.494756,28.1227602455205,38.6687953375907,49.2148304296609
"Yorkshire Terrier",0.2032,0.2032,1.360776,3.175144,0.2032,2.26796,32.9563596627193,54.9272661045322,76.8981725463451
